"","num","true","CAL","CAL_sle","AIPW","IPW","REG","CAL_se","CAL_sle_se","AIPW_sand_se","AIPW_asym_se","AIPW_bs_se","IPW_asym_se","IPW_bs_se","REG_asym_se","REG_bs_se","REG_sum","IPW_sum","AIPW_sum","CAL_sle_sum","CAL_sum","CAL_diff","CAL_sle_diff","AIPW_diff","IPW_diff","REG_diff"
"1",1,0.1914691,0.187037555029022,0.170732578130253,0.159785134829395,0.159792942894682,0.156708425668481,0.0505311069184224,0.0539834095895086,0.0501304806320135,0.0573845217807048,0.0567433999943938,0.0573845226190364,0.0551924412023617,0.0573843568206672,0.0576807246293418,"Y","Y","Y","Y","Y",-0.00443154497097836,-0.0207365218697467,-0.0316839651706047,-0.0316761571053185,-0.0347606743315192
"2",2,2.5,2.38767680552413,2.63622625527181,2.71057508099458,3.14840464237196,2.69722060785993,0.123645153736728,0.186940332347851,0.198416612762831,0.200941599986497,0.261039815478389,0.201951241608526,0.461658815673729,0.200940712453271,0.222515978978938,"Y","N","Y","Y","Y",-0.112323194475866,0.136226255271815,0.210575080994576,0.648404642371965,0.197220607859933
"3",3,2.090099,2.02363671241678,2.26957441419486,2.3241576231943,6.64868083650362,2.33213086098056,0.127486730367876,0.211813372424415,0.190852054825607,0.204700527252208,0.414492815929728,0.278195719708836,1.44259503179748,0.204700231477192,0.413206189092948,"Y","N","Y","Y","Y",-0.0664622875832186,0.179475414194864,0.234058623194298,4.55858183650362,0.242031860980559
"4",4,0.1696688,0,0.179267146389227,0.187404866251129,0.189132269542969,0.181650947942066,0,0.0378255137910896,0.0374829932044729,0.0374472810346766,0.0383374422681133,0.0374478915572563,0.0392665889445181,0.0374463969126301,0.0384174299328122,"Y","Y","Y","Y","N",-0.1696688,0.00959834638922719,0.0177360662511292,0.0194634695429692,0.0119821479420661
"5",5,0.1914691,0.203200943545457,0.112222179658077,0.100803609192254,0.0617543326533382,0.105886659505603,0.0507027909162778,0.0530113794689052,0.0473161758313619,0.0481573997114049,0.0568190274027999,0.0481893148608762,0.049912825692221,0.0481569704936184,0.0576769545576422,"Y","N","Y","Y","Y",0.0117318435454567,-0.0792469203419231,-0.090665490807746,-0.129714767346662,-0.0855824404943972
"6",6,2.5,2.53103872510287,2.88393944622394,2.8752755450018,5.01281197587716,2.86245551701994,0.108566133972629,0.19486007369055,0.193219161928624,0.198222551228361,0.289779928626453,0.221419601468556,0.506584878270586,0.198221678453486,0.281734303642103,"Y","N","Y","N","Y",0.0310387251028708,0.383939446223941,0.375275545001804,2.51281197587716,0.362455517019935
"7",7,2.090099,2.05006235918342,2.30535815661053,2.32544844474099,4.06205645700987,2.33532832753231,0.156254235547719,0.2019782815929,0.185406892997478,0.197327788049642,0.292404440146786,0.211899128782198,1.24799902682423,0.19732729337929,0.292012046185101,"Y","N","Y","Y","Y",-0.0400366408165787,0.215259156610534,0.235349444740989,1.97195745700987,0.245229327532306
"8",8,0.1696688,0.218244766998809,0.21515736846791,0.214469108509059,0.206022403642222,0.216910937897219,0.0364409415596455,0.0365586095257489,0.0372437220058098,0.0370977681616604,0.0383039804552631,0.0371008031971173,0.0387777275922761,0.0370976074365286,0.0380722816577477,"Y","Y","Y","Y","Y",0.0485759669988095,0.0454885684679097,0.0448003085090586,0.036353603642222,0.0472421378972194
